Gene_Symbol	Upregulated
BMS1P13	Normal
BNIPL	Normal
BOC	Normal
BOLA2B	Tumor
BORA	Tumor
BRAT1	Tumor
BRCA1	Tumor
BRCA2	Tumor
BRD4	Tumor
BRI3BP	Tumor
BRIP1	Tumor
BRIX1	Tumor
BSG	Tumor
BSPRY	Normal
BST2	Tumor
BTBD11	Normal
BTBD3	Tumor
BTF3P7	Normal
BTN3A2	Tumor
BTNL9	Normal
BUB1	Tumor
BUB1B	Tumor
BZRAP1	Normal
BZW2	Tumor
C10orf12	Tumor
C10orf128	Normal
C10orf99	Normal
C11orf24	Tumor
C12orf54	Normal
C12orf75	Tumor
C15orf52	Normal
C15orf59	Normal
C15orf62	Normal
C16orf89	Normal
C17orf53	Tumor
C17orf96	Tumor
C19orf33	Normal
C1orf112	Tumor
C1orf116	Normal
C1orf177	Normal
C1orf198	Tumor
C1orf226	Tumor
C1orf95	Normal
C1QA	Tumor
C1QB	Tumor
C1QC	Tumor
C1QTNF6	Tumor
C1QTNF7	Normal
C2	Tumor
C20orf166-AS1	Normal
C2CD3	Tumor
C2CD4A	Tumor
C2CD4B	Tumor
C2orf27AP3	Normal
C2orf40	Normal
C2orf54	Normal
C2orf69	Tumor
C2orf70	Tumor
C2orf81	Tumor
C3AR1	Tumor
C3orf14	Normal
C3orf52	Tumor
C3orf67	Normal
C4orf19	Tumor
C4orf3	Normal
C4orf46	Tumor
C4orf48	Tumor
C5AR1	Tumor
C5orf15	Tumor
C5orf22	Tumor
C5orf28	Tumor
C5orf51	Tumor
C5orf66	Normal
C5orf66-AS1	Normal
C6orf132	Normal
C6orf183	Tumor
C6orf223	Tumor
C6orf49	Normal
C7	Normal
C7orf31	Tumor
C8orf88	Normal
C9orf16	Tumor
CA2	Tumor
CA9	Tumor
CAB39L	Normal
CABLES2	Tumor
CABYR	Tumor
CACNA1H	Normal
CACNA2D3	Normal
CAD	Tumor
CADM3	Normal
CADM3-AS1	Normal
CADM4	Normal
CADPS2	Tumor
CALB2	Normal
CALCOCO1	Normal
CALML3	Normal
CALML3-AS1	Normal
CALML5	Normal
CALU	Tumor
CAMK2N1	Tumor
CAND1	Tumor
CANX	Tumor
CAPN14	Normal
CAPN3	Normal
CAPNS2	Normal
CAPRIN1	Tumor
CARD11	Tumor
CARD14	Normal
CARHSP1	Normal
CASC4	Tumor
CASC5	Tumor
CASC9	Tumor
CASK	Tumor
CASP7	Tumor
CASP8AP2	Tumor
CASQ2	Normal
CBLB	Tumor
CBLL1	Tumor
CBR1	Normal
CBR3	Normal
CBX3	Tumor
CBX5	Tumor
CCDC117	Tumor
CCDC12	Normal
CCDC120	Normal
CCDC146	Normal
CCDC159	Normal
CCDC162P	Tumor
CCDC34	Tumor
CCDC64	Normal
CCDC64B	Normal
CCDC69	Normal
CCDC71L	Tumor
CCDC86	Tumor
CCDC88A	Tumor
CCL14	Normal
CCL18	Tumor
CCL19	Normal
CCL20	Tumor
CCL21	Normal
CCL23	Normal
CCL28	Tumor
CCL3	Tumor
CCL4	Tumor
CCL4L2	Tumor
CCL5	Tumor
CCNA2	Tumor
CCNB1	Tumor
CCNB2	Tumor
CCNE1	Tumor
CCNE2	Tumor
CCNF	Tumor
CCNG2	Normal
CCNK	Tumor
CCNL2	Normal
CCPG1	Tumor
CCR1	Tumor
CCRL2	Tumor
CCRN4L	Tumor
CCSAP	Tumor
CCSER1	Tumor
CCT4	Tumor
CCT5	Tumor
CD14	Tumor
CD164	Tumor
CD164L2	Normal
CD24	Normal
CD276	Tumor
CD2AP	Tumor
CD3E	Tumor
CD4	Tumor
CD7	Tumor
CD74	Tumor
CD83	Tumor
CD86	Tumor
CDA	Normal
CDC14B	Tumor
CDC20	Tumor
CDC25A	Tumor
CDC25B	Tumor
CDC25C	Tumor
CDC42BPA	Tumor
CDC42EP2	Tumor
CDC42EP3	Tumor
CDC42SE2	Tumor
CDC45	Tumor
